Adhoc_Param_Syn_Lower,Ad-hoc_Param,Entity
neomycin ointment,Neomycin,PatientMedicationDim
neomycin cream,Neomycin,PatientMedicationDim
neomycin ear drops,Neomycin,PatientMedicationDim
neomycin eye drops,Neomycin,PatientMedicationDim
neomycin,Neomycin,PatientMedicationDim
analgesic drug,Analgesics,PatientMedicationDim
painkiller,Analgesics,PatientMedicationDim
nsaid,Analgesics,PatientMedicationDim
opioid,Analgesics,PatientMedicationDim
acetaminophen,Analgesics,PatientMedicationDim
ibuprofen,Analgesics,PatientMedicationDim
aspirin,Analgesics,PatientMedicationDim
paracetamol,Analgesics,PatientMedicationDim
analgesics,Analgesics,PatientMedicationDim
arbs,Angiotensin II Receptor Blockers,PatientMedicationDim
angiotensin-ii receptor antagonists,Angiotensin II Receptor Blockers,PatientMedicationDim
losartan,Angiotensin II Receptor Blockers,PatientMedicationDim
valsartan,Angiotensin II Receptor Blockers,PatientMedicationDim
candesartan,Angiotensin II Receptor Blockers,PatientMedicationDim
irbesartan,Angiotensin II Receptor Blockers,PatientMedicationDim
lisinopril,Angiotensin II Receptor Blockers,PatientMedicationDim
angiotensin ii receptor blockers,Angiotensin II Receptor Blockers,PatientMedicationDim
at,Anti Thrombotics,PatientMedicationDim
anticoagulants,Anti Thrombotics,PatientMedicationDim
antiplatelet agents,Anti Thrombotics,PatientMedicationDim
blood thinners,Anti Thrombotics,PatientMedicationDim
heparin,Anti Thrombotics,PatientMedicationDim
warfarin,Anti Thrombotics,PatientMedicationDim
aspirin,Anti Thrombotics,PatientMedicationDim
clopidogrel,Anti Thrombotics,PatientMedicationDim
ticlopidine,Anti Thrombotics,PatientMedicationDim
prasugrel,Anti Thrombotics,PatientMedicationDim
dabigatran,Anti Thrombotics,PatientMedicationDim
apixaban,Anti Thrombotics,PatientMedicationDim
rivaroxaban,Anti Thrombotics,PatientMedicationDim
edoxaban,Anti Thrombotics,PatientMedicationDim
anti thrombotics,Anti Thrombotics,PatientMedicationDim
appetite suppressant,Anorexiants,PatientMedicationDim
diet pills,Anorexiants,PatientMedicationDim
weight loss medication,Anorexiants,PatientMedicationDim
anti-obesity drug,Anorexiants,PatientMedicationDim
anorexiants,Anorexiants,PatientMedicationDim
lorcaserin hydrochloride,Lorcaserin,PatientMedicationDim
belviq,Lorcaserin,PatientMedicationDim
obesity drug,Lorcaserin,PatientMedicationDim
weight loss medication,Lorcaserin,PatientMedicationDim
anti-obesity drug,Lorcaserin,PatientMedicationDim
lorcaserin,Lorcaserin,PatientMedicationDim
antibiotics,Anti Infectives,PatientMedicationDim
antifungal agents,Anti Infectives,PatientMedicationDim
antiviral drugs,Anti Infectives,PatientMedicationDim
antiparasitic medications,Anti Infectives,PatientMedicationDim
antiseptics,Anti Infectives,PatientMedicationDim
disinfectants,Anti Infectives,PatientMedicationDim
anti infectives,Anti Infectives,PatientMedicationDim
antihypertensive drugs,Antiadrenergics,PatientMedicationDim
beta blockers,Antiadrenergics,PatientMedicationDim
alpha-adrenergic antagonists,Antiadrenergics,PatientMedicationDim
anti-hypertensives,Antiadrenergics,PatientMedicationDim
anti-adrenergic agents,Antiadrenergics,PatientMedicationDim
non-selective beta blocker,Antiadrenergics,PatientMedicationDim
selective alpha-1 blocker,Antiadrenergics,PatientMedicationDim
selective alpha-2 blocker,Antiadrenergics,PatientMedicationDim
antiadrenergics,Antiadrenergics,PatientMedicationDim
rserpine,Reserpine,PatientMedicationDim
reserpin,Reserpine,PatientMedicationDim
reserpine hydrochloride,Reserpine,PatientMedicationDim
reserpine sulfate,Reserpine,PatientMedicationDim
reserpine tablet,Reserpine,PatientMedicationDim
reserpine capsule,Reserpine,PatientMedicationDim
reserpine oral solution,Reserpine,PatientMedicationDim
reserpine,Reserpine,PatientMedicationDim
aa,Antiarrhythmics,PatientMedicationDim
anti-arrhythmic drugs,Antiarrhythmics,PatientMedicationDim
aad,Antiarrhythmics,PatientMedicationDim
antiarrhythmic agents,Antiarrhythmics,PatientMedicationDim
antiarrhythmics,Antiarrhythmics,PatientMedicationDim
digitalis glycoside,Digoxin,PatientMedicationDim
digoxin (dg),Digoxin,PatientMedicationDim
digoxin (dig),Digoxin,PatientMedicationDim
digoxin,Digoxin,PatientMedicationDim
anti-asthmatic drugs,Antiasthmatics,PatientMedicationDim
bronchodilators,Antiasthmatics,PatientMedicationDim
inhaled corticosteroids,Antiasthmatics,PatientMedicationDim
leukotriene modifiers,Antiasthmatics,PatientMedicationDim
combination inhalers,Antiasthmatics,PatientMedicationDim
antiasthmatics,Antiasthmatics,PatientMedicationDim
awlm,Antiasthmatics Without Leukotrine Modifiers,PatientMedicationDim
anti-asthmatic drugs without leukotriene modifiers,Antiasthmatics Without Leukotrine Modifiers,PatientMedicationDim
asthma medication without leukotriene inhibitors,Antiasthmatics Without Leukotrine Modifiers,PatientMedicationDim
leukotriene free antiasthmatics,Antiasthmatics Without Leukotrine Modifiers,PatientMedicationDim
antiasthmatics without leukotrine modifiers,Antiasthmatics Without Leukotrine Modifiers,PatientMedicationDim
ab,Antibiotics,PatientMedicationDim
antibiotic,Antibiotics,PatientMedicationDim
antibacterial drug,Antibiotics,PatientMedicationDim
antimicrobial agent,Antibiotics,PatientMedicationDim
beta-lactam antibiotic,Antibiotics,PatientMedicationDim
macrolide antibiotic,Antibiotics,PatientMedicationDim
quinolone antibiotic,Antibiotics,PatientMedicationDim
aminoglycoside antibiotic,Antibiotics,PatientMedicationDim
tetracycline antibiotic,Antibiotics,PatientMedicationDim
sulfa drug,Antibiotics,PatientMedicationDim
penicillin,Antibiotics,PatientMedicationDim
cephalosporin,Antibiotics,PatientMedicationDim
erythromycin,Antibiotics,PatientMedicationDim
azithromycin,Antibiotics,PatientMedicationDim
levofloxacin,Antibiotics,PatientMedicationDim
ofloxacin,Antibiotics,PatientMedicationDim
gentamicin,Antibiotics,PatientMedicationDim
amoxicillin,Antibiotics,PatientMedicationDim
clindamycin,Antibiotics,PatientMedicationDim
doxycycline,Antibiotics,PatientMedicationDim
trimethoprim-sulfamethoxazole,Antibiotics,PatientMedicationDim
antibiotics,Antibiotics,PatientMedicationDim
pneumocystis jiroveci pneumonia (pjp),Pneumocystis Jiroveci,PatientMedicationDim
pneumocystis carinii pneumonia (pcp),Pneumocystis Jiroveci,PatientMedicationDim
pneumocystis pneumonia,Pneumocystis Jiroveci,PatientMedicationDim
pneumocystis jirovecii,Pneumocystis Jiroveci,PatientMedicationDim
pneumocystis carinii,Pneumocystis Jiroveci,PatientMedicationDim
pneumocystis jiroveci,Pneumocystis Jiroveci,PatientMedicationDim
polymyxin b,Polymyxin,PatientMedicationDim
polymyxin e,Polymyxin,PatientMedicationDim
colistin,Polymyxin,PatientMedicationDim
colistimethate sodium,Polymyxin,PatientMedicationDim
polymyxin,Polymyxin,PatientMedicationDim
intramuscular administration,Parenteral Conversion,PatientMedicationDim
subcutaneous administration,Parenteral Conversion,PatientMedicationDim
iv infusion,Parenteral Conversion,PatientMedicationDim
im to iv conversion,Parenteral Conversion,PatientMedicationDim
sc to iv conversion,Parenteral Conversion,PatientMedicationDim
parenteral conversion,Parenteral Conversion,PatientMedicationDim
chemotherapy,Antineoplastics,PatientMedicationDim
cytotoxic agents,Antineoplastics,PatientMedicationDim
anticancer drugs,Antineoplastics,PatientMedicationDim
oncology medication,Antineoplastics,PatientMedicationDim
chemotherapeutic agents,Antineoplastics,PatientMedicationDim
antineoplastics,Antineoplastics,PatientMedicationDim
dnr,Daunorubicin,PatientMedicationDim
daunomycin,Daunorubicin,PatientMedicationDim
daunorubicin hydrochloride,Daunorubicin,PatientMedicationDim
daunoxome,Daunorubicin,PatientMedicationDim
daunoxome,Daunorubicin,PatientMedicationDim
daunoxome sodium,Daunorubicin,PatientMedicationDim
daunoxomine,Daunorubicin,PatientMedicationDim
daunorubicin,Daunorubicin,PatientMedicationDim
doxo,Doxorubicin,PatientMedicationDim
dox,Doxorubicin,PatientMedicationDim
adriamycin,Doxorubicin,PatientMedicationDim
doxorubicin,Doxorubicin,PatientMedicationDim
mmc,Mitomycin,PatientMedicationDim
mitomycin c,Mitomycin,PatientMedicationDim
mitomycin,Mitomycin,PatientMedicationDim
ato,Arsenic Trioxide,PatientMedicationDim
as2o3,Arsenic Trioxide,PatientMedicationDim
arsenic(iii) oxide,Arsenic Trioxide,PatientMedicationDim
arsenic trioxide,Arsenic Trioxide,PatientMedicationDim
bosutinib,Bosutinib,PatientMedicationDim
ski-606,Bosutinib,PatientMedicationDim
bosulif,Bosutinib,PatientMedicationDim
peg-phenylalanine mustard,Pegaspargase,PatientMedicationDim
oncaspar,Pegaspargase,PatientMedicationDim
pegylated asparaginase,Pegaspargase,PatientMedicationDim
pegaspargase,Pegaspargase,PatientMedicationDim
antimuscarinic agents,Anticholinergics,PatientMedicationDim
antispasmodic drugs,Anticholinergics,PatientMedicationDim
anti-secretory agents,Anticholinergics,PatientMedicationDim
anti-salivary agents,Anticholinergics,PatientMedicationDim
anti-gastric secretion agents,Anticholinergics,PatientMedicationDim
anticholinergics,Anticholinergics,PatientMedicationDim
heparin,Anticoagulants,PatientMedicationDim
warfarin,Anticoagulants,PatientMedicationDim
apixaban,Anticoagulants,PatientMedicationDim
rivaroxaban,Anticoagulants,PatientMedicationDim
dabigatran,Anticoagulants,PatientMedicationDim
enoxaparin,Anticoagulants,PatientMedicationDim
fondaparinux,Anticoagulants,PatientMedicationDim
lovenox,Anticoagulants,PatientMedicationDim
coumadin,Anticoagulants,PatientMedicationDim
anticoagulants,Anticoagulants,PatientMedicationDim
coumadin,Warfarin,PatientMedicationDim
jantoven,Warfarin,PatientMedicationDim
inr,Warfarin,PatientMedicationDim
international normalized ratio,Warfarin,PatientMedicationDim
anticoagulant,Warfarin,PatientMedicationDim
oral anticoagulant,Warfarin,PatientMedicationDim
sod,Warfarin,PatientMedicationDim
super warfarin,Warfarin,PatientMedicationDim
rat poison,Warfarin,PatientMedicationDim
warfarin,Warfarin,PatientMedicationDim
low molecular weight heparin (lmwh),Heparin,PatientMedicationDim
unfractionated heparin (ufh),Heparin,PatientMedicationDim
heparin sodium,Heparin,PatientMedicationDim
heparin calcium,Heparin,PatientMedicationDim
heparin potassium,Heparin,PatientMedicationDim
heparin pentasaccharide,Heparin,PatientMedicationDim
heparin,Heparin,PatientMedicationDim
acns,Anticonvulsants,PatientMedicationDim
antiepileptic drugs,Anticonvulsants,PatientMedicationDim
aeds,Anticonvulsants,PatientMedicationDim
antiseizure medications,Anticonvulsants,PatientMedicationDim
asms,Anticonvulsants,PatientMedicationDim
anticonvulsants,Anticonvulsants,PatientMedicationDim
cbz,Carbamazepine,PatientMedicationDim
carbonic anhydrase inhibitor,Carbamazepine,PatientMedicationDim
tegretol,Carbamazepine,PatientMedicationDim
anticonvulsant drug,Carbamazepine,PatientMedicationDim
mood stabilizer,Carbamazepine,PatientMedicationDim
tricyclic antidepressant-like effects,Carbamazepine,PatientMedicationDim
carbamazepine,Carbamazepine,PatientMedicationDim
pht,Phenytoin,PatientMedicationDim
dilantin,Phenytoin,PatientMedicationDim
anticonvulsant drug,Phenytoin,PatientMedicationDim
phenytoin,Phenytoin,PatientMedicationDim
ssri,Antidepressants,PatientMedicationDim
snri,Antidepressants,PatientMedicationDim
maoi,Antidepressants,PatientMedicationDim
tricyclic antidepressant,Antidepressants,PatientMedicationDim
tca,Antidepressants,PatientMedicationDim
selective serotonin reuptake inhibitor,Antidepressants,PatientMedicationDim
serotonin and norepinephrine reuptake inhibitor,Antidepressants,PatientMedicationDim
monoamine oxidase inhibitor,Antidepressants,PatientMedicationDim
antidepressants,Antidepressants,PatientMedicationDim
doxepin (antidepressant),Doxepin,PatientMedicationDim
doxepin hydrochloride,Doxepin,PatientMedicationDim
doxepin tablets,Doxepin,PatientMedicationDim
doxepin capsules,Doxepin,PatientMedicationDim
doxepin oral solution,Doxepin,PatientMedicationDim
doxepin topical cream,Doxepin,PatientMedicationDim
doxepin antidepressant,Doxepin,PatientMedicationDim
doxepin,Doxepin,PatientMedicationDim
tca,Tricyclic Antidepressants,PatientMedicationDim
tricyclic antidepressant,Tricyclic Antidepressants,PatientMedicationDim
imipramine,Tricyclic Antidepressants,PatientMedicationDim
amitriptyline,Tricyclic Antidepressants,PatientMedicationDim
nortriptyline,Tricyclic Antidepressants,PatientMedicationDim
desipramine,Tricyclic Antidepressants,PatientMedicationDim
doxepin,Tricyclic Antidepressants,PatientMedicationDim
amoxapine,Tricyclic Antidepressants,PatientMedicationDim
clomipramine,Tricyclic Antidepressants,PatientMedicationDim
tricyclic antidepressants,Tricyclic Antidepressants,PatientMedicationDim
antitoxin,Antidotes,PatientMedicationDim
antivenom,Antidotes,PatientMedicationDim
antiserum,Antidotes,PatientMedicationDim
antidote,Antidotes,PatientMedicationDim
antidotes,Antidotes,PatientMedicationDim
folinic acid,Leucovorin,PatientMedicationDim
leucovorin calcium,Leucovorin,PatientMedicationDim
leucovorin potassium,Leucovorin,PatientMedicationDim
leucovorin sodium,Leucovorin,PatientMedicationDim
leucovorin,Leucovorin,PatientMedicationDim
aeds,Antiepileptic Agents,PatientMedicationDim
anticonvulsants,Antiepileptic Agents,PatientMedicationDim
antiseizure medications,Antiepileptic Agents,PatientMedicationDim
antiepileptics,Antiepileptic Agents,PatientMedicationDim
antiepileptic agents,Antiepileptic Agents,PatientMedicationDim
valproic acid,Valproate,PatientMedicationDim
vpa,Valproate,PatientMedicationDim
depakote,Valproate,PatientMedicationDim
depakene,Valproate,PatientMedicationDim
depakine,Valproate,PatientMedicationDim
divalproex sodium,Valproate,PatientMedicationDim
sodium valproate,Valproate,PatientMedicationDim
valproate semisodium,Valproate,PatientMedicationDim
valproate monosodium,Valproate,PatientMedicationDim
valproate divalproate,Valproate,PatientMedicationDim
valproate,Valproate,PatientMedicationDim
amphotericin b,Antifungals,PatientMedicationDim
fluconazole,Antifungals,PatientMedicationDim
itraconazole,Antifungals,PatientMedicationDim
ketoconazole,Antifungals,PatientMedicationDim
griseofulvin,Antifungals,PatientMedicationDim
voriconazole,Antifungals,PatientMedicationDim
posaconazole,Antifungals,PatientMedicationDim
terbinafine,Antifungals,PatientMedicationDim
antifungals,Antifungals,PatientMedicationDim
at,Aspergillosis treatment,PatientMedicationDim
anti-aspergillus therapy,Aspergillosis treatment,PatientMedicationDim
aa treatment,Aspergillosis treatment,PatientMedicationDim
aspergillus antifungal treatment,Aspergillosis treatment,PatientMedicationDim
aspergillus fungal treatment,Aspergillosis treatment,PatientMedicationDim
aspergillus medication,Aspergillosis treatment,PatientMedicationDim
aspergillosis antifungal,Aspergillosis treatment,PatientMedicationDim
aspergillosis drug treatment,Aspergillosis treatment,PatientMedicationDim
aspergillosis treatment,Aspergillosis treatment,PatientMedicationDim
ct,Candidiasis treatment,PatientMedicationDim
antifungal therapy for candidiasis,Candidiasis treatment,PatientMedicationDim
candida treatment,Candidiasis treatment,PatientMedicationDim
oral antifungals for candidiasis,Candidiasis treatment,PatientMedicationDim
topical antifungals for candidiasis,Candidiasis treatment,PatientMedicationDim
fluconazole for candidiasis,Candidiasis treatment,PatientMedicationDim
itraconazole for candidiasis,Candidiasis treatment,PatientMedicationDim
voriconazole for candidiasis,Candidiasis treatment,PatientMedicationDim
posaconazole for candidiasis,Candidiasis treatment,PatientMedicationDim
candidiasis treatment,Candidiasis treatment,PatientMedicationDim
allopurinol,Antigout Agents,PatientMedicationDim
febuxostat,Antigout Agents,PatientMedicationDim
probenecid,Antigout Agents,PatientMedicationDim
colchicine,Antigout Agents,PatientMedicationDim
pegloticase,Antigout Agents,PatientMedicationDim
antigout agents,Antigout Agents,PatientMedicationDim
statins,Antihyperlipidemics,PatientMedicationDim
fibrates,Antihyperlipidemics,PatientMedicationDim
niacin,Antihyperlipidemics,PatientMedicationDim
bile acid sequestrants,Antihyperlipidemics,PatientMedicationDim
cholesterol absorption inhibitors,Antihyperlipidemics,PatientMedicationDim
ezetimibe,Antihyperlipidemics,PatientMedicationDim
pcsk9 inhibitors,Antihyperlipidemics,PatientMedicationDim
antihyperlipidemics,Antihyperlipidemics,PatientMedicationDim
ezt,Ezetimibe,PatientMedicationDim
ezetimibe hydrochloride,Ezetimibe,PatientMedicationDim
ezetimibe,Ezetimibe,PatientMedicationDim
ace inhibitors,Antihypertensives,PatientMedicationDim
